x,noisy,smoothed
0.000000000000000000e+00,4.521016768904994598e-01,2.547732567786090141e-01
5.025125628140703765e-02,-1.334835887552560801e-02,2.564336987569194037e-01
1.005025125628140753e-01,2.262425397752272083e-01,2.612718957199935965e-01
1.507537688442211199e-01,4.630814015840898357e-01,2.718592760638369188e-01
2.010050251256281506e-01,1.018464567492582962e-01,2.910777820705459096e-01
2.512562814070352091e-01,2.564499171487267248e-01,3.210109814641165515e-01
3.015075376884422398e-01,1.043927486203077293e-01,3.620139977419832844e-01
3.517587939698492705e-01,5.377501123198297206e-01,4.121645978012994371e-01
4.020100502512563012e-01,5.038862548493409088e-01,4.675143098580688550e-01
4.522613065326633319e-01,5.432344019259239820e-01,5.229284810259043903e-01
5.025125628140704181e-01,4.616883025834406240e-01,5.734048908350557472e-01
5.527638190954774489e-01,9.597409702359885886e-01,6.152928601842605483e-01
6.030150753768844796e-01,4.771909085097111314e-01,6.472271082816555277e-01
6.532663316582915103e-01,1.012160656933679626e+00,6.703598844056873896e-01
7.035175879396985410e-01,6.482839233943542556e-01,6.875407212609562224e-01
7.537688442211055717e-01,2.813942817043281197e-01,7.018100242503655384e-01
8.040201005025126024e-01,8.447733363915276295e-01,7.151117620797012853e-01
8.542713567839196331e-01,8.416528426094789239e-01,7.280725195086729107e-01
9.045226130653266639e-01,8.701128891831009238e-01,7.410157792054127279e-01
9.547738693467336946e-01,7.343655403020025174e-01,7.553426064424820785e-01
1.005025125628140836e+00,7.207698426004265357e-01,7.740106103405876015e-01
1.055276381909547867e+00,5.188742915882698092e-01,8.005399003590024654e-01
1.105527638190954898e+00,8.274468533273164894e-01,8.371348791656627597e-01
1.155778894472361928e+00,9.565443939341273794e-01,8.831773032067428142e-01
1.206030150753768959e+00,7.782955058525921066e-01,9.348591011714421084e-01
1.256281407035175990e+00,9.611042113307112222e-01,9.861992111840371944e-01
1.306532663316583021e+00,1.283405353069515975e+00,1.030878285652408355e+00
1.356783919597990051e+00,1.284437146389426188e+00,1.064271192733696969e+00
1.407035175879397082e+00,1.039674423386651503e+00,1.084458661643811217e+00
1.457286432160804113e+00,1.044454247987470774e+00,1.092138221834779266e+00
1.507537688442211143e+00,1.305975512771246905e+00,1.089415690728519737e+00
1.557788944723618174e+00,7.929912386584450079e-01,1.078319857219064204e+00
1.608040201005025205e+00,1.171740582698657551e+00,1.060000294934518639e+00
1.658291457286432236e+00,1.324473887684878282e+00,1.034875195834064288e+00
1.708542713567839266e+00,9.395639647742137779e-01,1.003396135675774792e+00
1.758793969849246297e+00,7.959598641885304859e-01,9.666883221533139059e-01
1.809045226130653328e+00,1.081658851003150623e+00,9.267968774907768825e-01
1.859296482412060358e+00,9.657423671711532487e-01,8.865707049387547833e-01
1.909547738693467389e+00,5.730033662436551101e-01,8.492934907611742190e-01
1.959798994974874420e+00,1.040531649731925690e+00,8.182825974270796499e-01
2.010050251256281673e+00,6.279821257701038162e-01,7.961005640764583502e-01
2.060301507537688703e+00,6.317393596310137971e-01,7.835115345263424791e-01
2.110552763819095734e+00,6.350868301000712757e-01,7.786967936769602083e-01
2.160804020100502765e+00,8.935846992692471069e-01,7.773353783930656569e-01
2.211055276381909795e+00,9.382864756136248818e-01,7.738643573221076766e-01
2.261306532663316826e+00,7.589043851786964057e-01,7.634316306024250265e-01
2.311557788944723857e+00,8.968554408349963536e-01,7.436544655260316494e-01
2.361809045226130888e+00,8.612876267326837754e-01,7.150835968914612817e-01
2.412060301507537918e+00,3.614419857105057865e-01,6.803468361792205377e-01
2.462311557788944949e+00,8.128601210112035291e-01,6.425102690072744815e-01
2.512562814070351980e+00,4.912841521239400544e-01,6.037675875823392824e-01
2.562814070351759010e+00,5.564989490456763166e-01,5.649735050549596904e-01
2.613065326633166041e+00,7.087526585360391929e-01,5.261432784758575121e-01
2.663316582914573072e+00,4.343797599214884175e-01,4.872087241312227923e-01
2.713567839195980103e+00,3.765733085548485515e-01,4.481282781718510244e-01
2.763819095477387133e+00,4.071995769267621745e-01,4.084830562795192521e-01
2.814070351758794164e+00,3.023724411159353642e-01,3.669500925187571538e-01
2.864321608040201195e+00,3.317620802443754791e-01,3.214813832511268510e-01
2.914572864321608225e+00,5.571073375954300744e-01,2.702723695825675621e-01
2.964824120603015256e+00,2.229953685992744350e-01,2.130238935081010254e-01
3.015075376884422287e+00,1.937703877212010872e-01,1.515842290402371062e-01
3.065326633165829318e+00,-2.397527083817780347e-01,8.936970167082748662e-02
3.115577889447236348e+00,1.865869651827249120e-01,2.985761172639039493e-02
3.165829145728643379e+00,7.246180816368194555e-02,-2.496487949391297881e-02
3.216080402010050410e+00,-3.819678624243979526e-01,-7.574257088467006849e-02
3.266331658291457440e+00,-1.971423099443485039e-01,-1.255622739903264895e-01
3.316582914572864471e+00,6.574928715666158996e-02,-1.786597742533195532e-01
3.366834170854271502e+00,2.007396349048695683e-02,-2.382017995396770171e-01
3.417085427135678533e+00,-3.678592770351253871e-01,-3.042627197248690130e-01
3.467336683417085563e+00,-3.557638037893599559e-01,-3.730299352219255127e-01
3.517587939698492594e+00,-4.982345544782909030e-01,-4.379268984917856211e-01
3.567839195979899625e+00,-7.912554718227804429e-01,-4.919799810000167750e-01
3.618090452261306655e+00,-6.237806595385583242e-01,-5.303873169975464874e-01
3.668341708542713686e+00,-4.589677210904799520e-01,-5.521707026843274413e-01
3.718592964824120717e+00,-8.500055258455432305e-01,-5.604294589291455297e-01
3.768844221105527748e+00,-4.064524285979165263e-01,-5.613770377601545736e-01
3.819095477386934778e+00,-7.042518412256286719e-01,-5.623795431801028588e-01
3.869346733668341809e+00,-2.093042524596910869e-01,-5.698247088258665549e-01
3.919597989949748840e+00,-5.037591940009322755e-01,-5.872103725087758352e-01
3.969849246231155870e+00,-4.900206275110917109e-01,-6.144061919150269890e-01
4.020100502512563345e+00,-9.658539031662640717e-01,-6.484611895442300433e-01
4.070351758793970376e+00,-5.706738103397213102e-01,-6.854716237367676213e-01
4.120603015075377407e+00,-7.308915160666560329e-01,-7.226145152663256965e-01
4.170854271356784437e+00,-7.821444021244641220e-01,-7.592146548963436548e-01
4.221105527638191468e+00,-9.257823153090939394e-01,-7.965534082234627666e-01
4.271356783919598499e+00,-6.527906387422430790e-01,-8.365338739556120728e-01
4.321608040201005529e+00,-6.630943675055424036e-01,-8.799142327985323142e-01
4.371859296482412560e+00,-1.169586182506537231e+00,-9.250316651188834616e-01
4.422110552763819591e+00,-7.609684637589357870e-01,-9.676739633351119085e-01
4.472361809045226622e+00,-1.231772563028405987e+00,-1.002174846202720015e+00
4.522613065326633652e+00,-1.246252699398605834e+00,-1.023464159214829472e+00
4.572864321608040683e+00,-1.010160887057406143e+00,-1.029027945600759830e+00
4.623115577889447714e+00,-1.193644968525019445e+00,-1.020061112497726352e+00
4.673366834170854744e+00,-9.647463876723973986e-01,-1.001276650951719471e+00
4.723618090452261775e+00,-1.034942955038068879e+00,-9.793111302572095056e-01
4.773869346733668806e+00,-7.686760242117781639e-01,-9.603299871857826631e-01
4.824120603015075837e+00,-7.310290340081317950e-01,-9.478680408985782346e-01
4.874371859296482867e+00,-9.490243153439333890e-01,-9.416485314745285384e-01
4.924623115577889898e+00,-1.064435725774704800e+00,-9.382320893161206765e-01
4.974874371859296929e+00,-1.036420268956915969e+00,-9.329444850483332718e-01
5.025125628140703959e+00,-9.920920124744544433e-01,-9.220312523607427924e-01
5.075376884422110990e+00,-9.534889727504586299e-01,-9.039089730449703097e-01
5.125628140703518021e+00,-7.663830116141069349e-01,-8.788771917806662559e-01
5.175879396984925052e+00,-1.007983538881364716e+00,-8.480998890982540672e-01
5.226130653266332082e+00,-4.828749994531060796e-01,-8.126217659707474228e-01
5.276381909547739113e+00,-1.155614913385871079e+00,-7.731273978204590280e-01
5.326633165829146144e+00,-9.156354195611742242e-01,-7.302738391071421642e-01
5.376884422110553174e+00,-2.388057447131494149e-01,-6.848423499900908595e-01
5.427135678391960205e+00,-7.839445080274222155e-01,-6.375649932185457613e-01
5.477386934673367236e+00,-6.095139767558810373e-01,-5.887388409326341776e-01
5.527638190954774267e+00,-5.110487223514557087e-01,-5.383456681306272307e-01
5.577889447236181297e+00,-6.961302526707421334e-01,-4.868485882331803904e-01
5.628140703517588328e+00,-2.849161384614790626e-01,-4.360009505241231875e-01
5.678391959798995359e+00,-4.119505018236339078e-01,-3.889312329010806146e-01
5.728643216080402389e+00,-3.546452199540150452e-01,-3.490626048312456819e-01
5.778894472361809420e+00,-4.046612362058965573e-02,-3.183092556668011275e-01
5.829145728643216451e+00,-1.177158535200333866e-01,-2.957329052611776810e-01
5.879396984924623482e+00,-3.528883328658554142e-01,-2.777252910911556238e-01
5.929648241206030512e+00,-6.900637734618018104e-01,-2.596053347415370194e-01
